B,n,snr,icc,rho,method,j_count,avg_sd,avg_bias,avg_abs_bias,avg_mse,avg_coverage,min_coverage,max_coverage,avg_mean_Nj,min_min_Nj,avg_n_rep_used
30,1000,0.1,0.2,0.6,ours,29,0.3524255375852495,0.012408730534804376,0.01784564392742439,0.13405973217362244,0.9396551724137931,0.895,0.97,428.78551724137935,114.0,200.0
30,1000,0.1,0.2,0.8,naive,29,0.3316019145396635,0.1993006841546388,0.1993006841546388,0.16316609675319446,0.9429310344827587,0.895,1.0,427.88258620689646,103.0,200.0
30,1000,0.1,0.2,0.8,ours,29,0.32698150856142805,-0.0016266445834316073,0.01567334381100883,0.1164581449200078,0.9494827586206896,0.92,0.98,427.88258620689646,103.0,200.0
30,1000,0.2,0.2,0.3,naive,29,0.17626942053248912,0.1959251539361949,0.1959251539361949,0.07520275825515506,0.8356896551724139,0.76,0.975,427.446724137931,113.0,200.0
30,1000,0.2,0.2,0.3,ours,29,0.17513912366783074,0.005774175944002141,0.010022894251520692,0.03173343336360274,0.9372413793103448,0.89,0.975,427.446724137931,113.0,200.0
30,1000,0.2,0.2,0.6,naive,29,0.17639243993932033,0.20202380104517315,0.20202380104517315,0.07911247015295289,0.8227586206896551,0.73,0.995,427.9551724137932,116.0,200.0
30,1000,0.2,0.2,0.6,ours,29,0.17707250632484742,0.002841955708048784,0.010583911926129095,0.03357263255572485,0.9386206896551725,0.895,0.97,427.9551724137932,116.0,200.0
30,1000,0.2,0.2,0.8,naive,29,0.1675782631015897,0.1849507254987812,0.1849507254987812,0.06885234135222852,0.8565517241379311,0.755,1.0,428.10155172413795,121.0,200.0
30,1000,0.2,0.2,0.8,ours,29,0.1677321291508456,-0.012162613190213686,0.013220074136646286,0.031574548304914574,0.9398275862068967,0.91,0.965,428.10155172413795,121.0,200.0
30,1000,0.3,0.2,0.3,naive,29,0.11738845226968188,0.2009294324440943,0.2009294324440943,0.0598233804154309,0.6553448275862069,0.52,0.99,426.06982758620677,118.0,200.0
30,1000,0.3,0.2,0.3,ours,29,0.11601243516795605,0.008036584502068527,0.00834827560294096,0.014253152998589196,0.9441379310344828,0.905,0.97,426.06982758620677,118.0,200.0
30,1000,0.3,0.2,0.6,naive,29,0.11618875113800545,0.18423834809245318,0.18423834809245318,0.05294314230942754,0.703103448275862,0.575,1.0,428.4479310344828,112.0,200.0
30,1000,0.3,0.2,0.6,ours,29,0.11906514722138531,-0.009414686722962721,0.009900444376829635,0.015119745130515807,0.9379310344827585,0.905,0.97,428.4479310344828,112.0,200.0
30,1000,0.3,0.2,0.8,naive,29,0.10986821905151177,0.1937097111433562,0.1937097111433562,0.056216652630300276,0.6843103448275862,0.55,1.0,426.93620689655177,118.0,200.0
30,1000,0.3,0.2,0.8,ours,29,0.11112820093273361,0.0028431935047940815,0.005230263710563584,0.013736363433619735,0.9472413793103449,0.92,0.975,426.93620689655177,118.0,200.0
