B,n,snr,icc,rho,method,j,sd,bias,mse,coverage,n_rep_used,mean_Nj,min_Nj
30,1000,0.3,0.2,0.3,ours,12,0.09399908014284583,0.005960190747036356,0.008827171806103706,0.955,200,477.33,436.0
30,1000,0.3,0.2,0.3,ours,13,0.09387573916515894,0.011724929338249781,0.00890606509977288,0.97,200,446.445,408.0
30,1000,0.3,0.2,0.3,ours,14,0.10014081671927269,0.0062950185118980295,0.010017669515402087,0.96,200,417.66,382.0
30,1000,0.3,0.2,0.3,ours,15,0.12061775670603829,0.013425464390066384,0.014656143110722,0.905,200,391.225,350.0
30,1000,0.3,0.2,0.3,ours,16,0.11475941240858246,0.0010740815530884385,0.01310502777386398,0.935,200,365.32,326.0
30,1000,0.3,0.2,0.3,ours,17,0.11769238226594356,-0.0016244226539253181,0.013784878108174407,0.935,200,341.345,301.0
30,1000,0.3,0.2,0.3,ours,18,0.1258797281113608,0.006066917262969266,0.015803284904718884,0.94,200,319.15,283.0
30,1000,0.3,0.2,0.3,ours,19,0.12028184992552615,0.00021115174741379445,0.014395429389459697,0.955,200,297.88,259.0
30,1000,0.3,0.2,0.3,ours,20,0.12374959316440358,0.0007439197871983027,0.01523794541596341,0.94,200,279.28,243.0
30,1000,0.3,0.2,0.3,ours,21,0.12010739225190116,0.004525693493879057,0.014374138646784829,0.955,200,261.4,230.0
30,1000,0.3,0.2,0.3,ours,22,0.13522298497332882,0.02645540415564474,0.018893717795810134,0.92,200,244.685,216.0
30,1000,0.3,0.2,0.3,ours,23,0.14105786864029712,0.014216615216390404,0.019999947842027507,0.94,200,228.73,200.0
30,1000,0.3,0.2,0.3,ours,24,0.1385091677551273,0.01878443978927535,0.019441720782653826,0.94,200,214.195,185.0
30,1000,0.3,0.2,0.3,ours,25,0.1388553914300907,0.011388448726837357,0.019314112394961492,0.97,200,200.15,170.0
30,1000,0.3,0.2,0.3,ours,26,0.15100409447033739,0.01123495987297483,0.022814449687419903,0.93,200,187.675,159.0
